Date,Open,High,Low,Close,Adj Close,Volume
2023-08-30,93.500000,95.080002,93.370003,95.019997,93.370193,1336100
2023-08-31,95.110001,96.129997,94.330002,94.379997,92.741310,1321900
2023-09-01,94.510002,95.250000,93.959999,94.449997,93.613518,812200
2023-09-05,94.529999,95.029999,92.559998,92.639999,91.819550,1113500
2023-09-06,92.519997,93.940002,92.309998,93.699997,92.870155,967600
2023-09-07,92.099998,92.629997,90.839996,92.290001,91.472649,983300
2023-09-08,91.870003,92.489998,90.320000,90.989998,90.184158,1199400
2023-09-11,91.339996,92.160004,90.779999,90.949997,90.144508,1207300
2023-09-12,90.250000,90.720001,88.989998,89.300003,88.509132,1092400
2023-09-13,89.230003,89.449997,86.400002,87.300003,86.526840,1630800
2023-09-14,88.220001,88.900002,86.790001,87.610001,86.834099,1333800
2023-09-15,87.209999,88.430000,86.589996,87.970001,87.190910,2291100
2023-09-18,87.849998,88.160004,86.919998,87.050003,86.279060,1241900
2023-09-19,86.830002,87.480003,85.769997,87.349998,86.576393,1177700
2023-09-20,88.209999,89.029999,86.080002,86.110001,85.347382,796800
2023-09-21,85.370003,85.519997,84.300003,84.400002,83.652527,1201100
2023-09-22,84.480003,84.750000,83.610001,83.699997,82.958717,1333400
2023-09-25,83.190002,84.750000,83.010002,83.680000,82.938904,1275500
2023-09-26,83.330002,83.330002,81.930000,82.120003,81.392715,1189600
2023-09-27,82.769997,83.620003,82.010002,82.900002,82.165810,1058300
2023-09-28,82.730003,84.160004,82.309998,83.760002,83.018196,2198400
2023-09-29,84.000000,84.750000,82.699997,83.580002,82.839790,2305500
2023-10-02,83.110001,83.510002,80.129997,80.720001,80.005119,1840500
2023-10-03,80.000000,80.320000,78.150002,78.410004,77.715576,1879500
2023-10-04,78.410004,78.930000,76.930000,78.620003,77.923714,2145000
2023-10-05,78.180000,78.559998,76.669998,77.480003,76.793816,1751500
2023-10-06,76.889999,78.940002,76.260002,78.180000,77.487610,1812100
2023-10-09,77.209999,79.110001,76.870003,78.919998,78.221054,1111900
2023-10-10,79.510002,82.940002,79.309998,81.610001,80.887230,1813400
2023-10-11,81.809998,84.120003,81.809998,84.070000,83.325447,1838300
2023-10-12,83.919998,83.919998,81.500000,82.800003,82.066696,2013500
2023-10-13,83.000000,83.339996,80.400002,81.449997,80.728645,1174700
2023-10-16,82.400002,83.000000,81.410004,82.309998,81.581032,795900
2023-10-17,81.419998,84.529999,81.419998,83.809998,83.067749,967000
2023-10-18,82.720001,82.739998,79.330002,79.480003,78.776100,1485700
2023-10-19,79.500000,81.070000,78.629997,78.860001,78.161591,1188500
2023-10-20,78.849998,78.989998,77.690002,77.919998,77.229912,1361000
2023-10-23,77.400002,79.080002,77.010002,78.099998,77.408318,1293800
2023-10-24,79.059998,79.930000,78.019997,79.370003,78.667076,1377200
2023-10-25,78.809998,78.970001,77.010002,77.250000,76.565849,1568900
2023-10-26,77.650002,78.489998,76.570000,77.230003,76.546028,2061700
2023-10-27,82.110001,84.650002,81.300003,82.029999,81.303513,4369000
